Date,Price
10/01/2020,906
09/30/2020,909.2
09/29/2020,897.7
09/28/2020,888.2
09/27/2020,855.85
09/25/2020,849.2
09/24/2020,845.3
09/23/2020,850.8
09/22/2020,866.2
09/21/2020,884.7
09/20/2020,933.65
09/18/2020,946.1
09/17/2020,938.7
09/16/2020,980.4
09/15/2020,989.1
09/14/2020,965.4
09/13/2020,939.45
09/11/2020,946
09/10/2020,947.2
09/09/2020,930.7
09/08/2020,917.5
09/07/2020,912.35
09/06/2020,903
09/04/2020,905.3
09/03/2020,897
09/02/2020,912.3
09/01/2020,961.4
08/31/2020,947.4
08/30/2020,946.7
08/28/2020,949.1
08/27/2020,930.1
08/26/2020,947.3
08/25/2020,941.4
08/24/2020,931.7
08/23/2020,925
08/21/2020,932.8
08/20/2020,933.7
08/19/2020,962.7
08/18/2020,982.1
08/17/2020,974.5
08/16/2020,959.1
08/14/2020,965.8
08/13/2020,989.9
08/12/2020,966.1
08/11/2020,978.4
08/10/2020,"1,009.40"
08/09/2020,983.65
08/07/2020,977.4
08/06/2020,"1,020.80"
08/05/2020,994.9
08/04/2020,961
08/03/2020,938
08/02/2020,922
07/31/2020,919.7
07/30/2020,920.55
07/29/2020,959.35
07/28/2020,987.65
07/27/2020,995.9
07/26/2020,966.15
07/24/2020,955.35
07/23/2020,949.55
07/22/2020,962.4
07/21/2020,926.85
07/20/2020,862.8
07/19/2020,851.8
07/17/2020,850.9
07/16/2020,833.7
07/15/2020,846.35
07/14/2020,843.85
07/13/2020,849.9
07/12/2020,844.8
07/10/2020,841.5
07/09/2020,853.55
07/08/2020,881.7
07/07/2020,861.6
07/06/2020,842.6
07/05/2020,826.75
07/03/2020,825.8
07/02/2020,827.65
07/01/2020,836.45
06/30/2020,852.6
06/29/2020,832.3
06/28/2020,815.5
06/26/2020,804
06/25/2020,809.4
06/24/2020,796.95
06/23/2020,843.85
06/22/2020,844.5
06/21/2020,826.75
06/19/2020,824.6
06/18/2020,814.7
06/17/2020,833.8
06/16/2020,841.25
06/15/2020,831.05
06/14/2020,816.8
06/12/2020,820.4
06/11/2020,812.55
06/10/2020,850
06/09/2020,859.95
06/08/2020,864.05
06/07/2020,835.8
06/05/2020,834.5
06/04/2020,866.15
06/03/2020,858.15
06/02/2020,872.7
06/01/2020,900.3
05/31/2020,877.2
05/29/2020,873.1
05/28/2020,863.45
05/27/2020,879.3
05/26/2020,869.9
05/25/2020,895.1
05/24/2020,885.5
05/22/2020,886.6
05/21/2020,869.3
05/20/2020,931.75
05/19/2020,893.55
05/18/2020,862.5
05/17/2020,841.3
05/15/2020,821.45
05/14/2020,785.6
05/13/2020,776.45
05/12/2020,768.2
05/11/2020,781
05/10/2020,796.2
05/08/2020,791.05
05/07/2020,781.5
05/06/2020,764.75
05/05/2020,781.55
05/04/2020,780.3
05/03/2020,768.35
05/01/2020,778.6
04/30/2020,805.5
04/29/2020,810.65
04/28/2020,794.3
04/27/2020,776.65
04/26/2020,780.1
04/24/2020,781.25
04/23/2020,791.3
04/22/2020,768.9
04/21/2020,757.9
04/20/2020,788.6
04/19/2020,786.45
04/17/2020,791.25
04/16/2020,805.5
04/15/2020,801.45
04/14/2020,819.2
04/13/2020,754.3
04/12/2020,749
04/10/2020,751.8
04/09/2020,751.5
04/08/2020,736.45
04/07/2020,738.7
04/06/2020,746.45
04/05/2020,724.7
04/03/2020,724.6
04/02/2020,729.15
04/01/2020,719.1
03/31/2020,718.65
03/30/2020,723.7
03/29/2020,741.9
03/27/2020,738.4
03/26/2020,741.15
03/25/2020,733.6
03/24/2020,734.6
03/23/2020,665.15
03/22/2020,606
03/20/2020,611.4
03/19/2020,595.2
03/18/2020,642.1
03/17/2020,669
03/16/2020,666.15
03/15/2020,757.9
03/13/2020,763.3
03/12/2020,762.65
03/11/2020,863.2
03/10/2020,873.5
03/09/2020,872.2
03/08/2020,899.7
03/06/2020,904.35
03/05/2020,872.95
03/04/2020,875.7
03/03/2020,878.25
03/02/2020,868.8
03/01/2020,852.95
02/28/2020,866.35
02/27/2020,903.65
02/26/2020,911.4
02/25/2020,935.7
02/24/2020,966.15
02/23/2020,977.45
02/21/2020,976.75
02/20/2020,986.05
02/19/2020,"1,010.85"
02/18/2020,995.8
02/17/2020,973.1
02/16/2020,969.35
02/14/2020,967.4
02/13/2020,972
02/12/2020,963.95
02/11/2020,971.75
02/10/2020,965.45
02/09/2020,970
02/07/2020,970.15
02/06/2020,968.9
02/05/2020,984.2
02/04/2020,966.65
02/03/2020,971.3
02/02/2020,968.25
01/31/2020,962.65
01/30/2020,981.85
01/29/2020,982.5
01/28/2020,990.7
01/27/2020,991.3
01/26/2020,"1,004.05"
01/24/2020,"1,010.25"
01/23/2020,"1,009.05"
01/22/2020,"1,022.60"
01/21/2020,"1,000.80"
01/20/2020,"1,026.30"
01/19/2020,"1,030.50"
01/17/2020,"1,027.05"
01/16/2020,"1,015.30"
